Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed

ABCDEFG	BBCDEFG	68	133	3
ABCDEFG	ABCDEFGx	68	180	4
ABCDEFg	BBCDEFg	100	165	3
ABCDEFg	ABCDEFgx	100	148	4
ABKDEFg	BBKDEFg	108	173	3
ABKDEFg	ABKDEFgx	108	140	3
EBKDEFg	FBKDEFg	112	177	3
EBKDEFg	EBKDEFgx	112	8	4
EBKDEfg	FBKDEfg	80	145	3
EBKDEfg	EBKDEfgx	80	40	4
EBkDEfg	FBkDEfg	112	177	3
EBkDEfg	EBkDEfgx	112	8	4
EJkDEfg	FJkDEfg	104	169	3
EJkDEfg	EJkDEfgx	104	16	4
EJkFEfg	FJkFEfg	38	103	2
EJkFEfg	EJkFEfgx	38	18	3
EJkBEfg	FJkBEfg	170	235	2
EJkBEfg	EJkBEfgx	170	14	3
EJkBefg	FJkBefg	202	11	3
EJkBefg	EJkBefgx	202	238	2
EJiBefg	FJiBefg	200	9	3
EJiBefg	EJiBefgx	200	176	4
EKiBefg	FKiBefg	103	168	6
EKiBefg	EKiBefgx	103	241	4
EKiCefg	FKiCefg	198	7	3
EKiCefg	EKiCefgx	198	114	4
EKiCgfg	FKiCgfg	72	137	3
EKiCgfg	EKiCgfgx	72	48	4
EKiCgvg	FKiCgvg	56	121	2
EKiCgvg	EKiCgvgx	56	64	4
EKiCgwg	FKiCgwg	87	152	6
EKiCgwg	EKiCgwgx	87	1	4
eKiCgwg	fKiCgwg	119	184	6
eKiCgwg	eKiCgwgx	119	225	4
eKICgwg	fKICgwg	87	152	6
eKICgwg	eKICgwgx	87	1	4
EKICgwg	FKICgwg	55	120	5
EKICgwg	EKICgwgx	55	33	3
GKICgwg	HKICgwg	185	250	3
GKICgwg	GKICgwgx	185	223	4
GKACgwg	HKACgwg	177	242	3
GKACgwg	GKACgwgx	177	231	4
GKaCgwg	HKaCgwg	209	18	4
GKaCgwg	GKaCgwgx	209	199	3
GKaCgwG	HKaCgwG	177	242	3
GKaCgwG	GKaCgwGx	177	231	4
FKaCgwG	GKaCgwG	112	177	3
FKaCgwG	FKaCgwGx	112	8	4
VKaCgwG	WKaCgwG	128	193	2
VKaCgwG	VKaCgwGx	128	248	4
VKACgwG	WKACgwG	96	161	3
VKACgwG	VKACgwGx	96	24	4
VKCCgwG	WKCCgwG	98	163	3
VKCCgwG	VKCCgwGx	98	86	3
VKCCewG	WKCCewG	224	33	3
VKCCewG	VKCCewGx	224	152	4
VKCCewO	WKCCewO	232	41	3
VKCCewO	VKCCewOx	232	144	4
VKCCegO	WKCCegO	248	57	3
VKCCegO	VKCCegOx	248	128	4
WKCCegO	XKCCegO	57	122	3
WKCCegO	WKCCegOx	57	95	4
UKCCegO	VKCCegO	183	248	5
UKCCegO	UKCCegOx	183	161	3
uKCCegO	vKCCegO	215	24	6
uKCCegO	uKCCegOx	215	129	4
tKCCegO	uKCCegO	150	215	2
tKCCegO	tKCCegOx	150	162	3
tKBCegO	uKBCegO	21	86	3
tKBCegO	tKBCegOx	21	3	3
vKBCegO	wKBCegO	151	216	5
vKBCegO	vKBCegOx	151	193	4
vKBCdgO	wKBCdgO	214	23	3
vKBCdgO	vKBCdgOx	214	98	4
VKBCdgO	WKBCdgO	182	247	2
VKBCdgO	VKBCdgOx	182	130	3
VJBCdgO	WJBCdgO	23	88	5
VJBCdgO	VJBCdgOx	23	65	4
VJBClgO	WJBClgO	31	96	7
VJBClgO	VJBClgOx	31	57	3
VJBCloO	WJBCloO	23	88	5
VJBCloO	VJBCloOx	23	65	4
RJBCloO	SJBCloO	19	84	4
RJBCloO	RJBCloOx	19	197	5
RJBCloK	SJBCloK	15	80	6
RJBCloK	RJBCloKx	15	73	3
VJBCloK	WJBCloK	19	84	4
VJBCloK	VJBCloKx	19	197	5
VBBCloK	WBBCloK	27	92	4
VBBCloK	VBBCloKx	27	189	4
VRBCloK	WRBCloK	11	76	4
VRBCloK	VRBCloKx	11	205	4
VrBCloK	WrBCloK	235	44	5
VrBCloK	VrBCloKx	235	237	2
VrbCloK	WrbCloK	11	76	4
VrbCloK	VrbCloKx	11	205	4
VbbCloK	WbbCloK	27	92	4
VbbCloK	VbbCloKx	27	189	4
VbbChoK	WbbChoK	23	88	5
VbbChoK	VbbChoKx	23	65	4
VbbchoK	WbbchoK	247	56	6
VbbchoK	VbbchoKx	247	97	4
VbcchoK	WbcchoK	120	185	3
VbcchoK	VbcchoKx	120	0	4
VbccloK	WbccloK	124	189	3
VbccloK	VbccloKx	124	124	0
VbcchoK	WbcchoK	120	185	3
VbcchoK	VbcchoKx	120	0	4
VbgchoK	WbgchoK	124	189	3
VbgchoK	VbgchoKx	124	124	0
VfgchoK	WfgchoK	248	57	3
VfgchoK	VfgchoKx	248	128	4
VfgchoJ	WfgchoJ	247	56	6
VfgchoJ	VfgchoJx	247	97	4
VdgchoJ	WdgchoJ	185	250	3
VdgchoJ	VdgchoJx	185	223	4
VdgkhoJ	WdgkhoJ	177	242	3
VdgkhoJ	VdgkhoJx	177	231	4
VdgKhoJ	WdgKhoJ	209	18	4
VdgKhoJ	VdgKhoJx	209	199	3
VdgKhoK	WdgKhoK	210	19	3
VdgKhoK	VdgKhoKx	210	230	3
VdgChoK	WdgChoK	218	27	3
VdgChoK	VdgChoKx	218	222	1
VdgCioK	WdgCioK	155	220	4
VdgCioK	VdgCioKx	155	61	4
VdgCioC	WdgCioC	147	212	4
VdgCioC	VdgCioCx	147	69	5
VdgBioC	WdgBioC	52	117	2
VdgBioC	VdgBioCx	52	196	4
VdgBioG	WdgBioG	56	121	2
VdgBioG	VdgBioGx	56	64	4
VdgBinG	WdgBinG	25	90	3
VdgBinG	VdgBinGx	25	127	4
VdgBknG	WdgBknG	155	220	4
VdgBknG	VdgBknGx	155	61	4
VdGBknG	WdGBknG	123	188	5
VdGBknG	VdGBknGx	123	93	3
VdFBknG	WdFBknG	250	59	3
VdFBknG	VdFBknGx	250	190	2
VdFBknW	WdFBknW	10	75	2
VdFBknW	VdFBknWx	10	174	3
VdFBKnW	WdFBKnW	234	43	3
VdFBKnW	VdFBKnWx	234	206	2
RdFBKnW	SdFBKnW	230	39	3
RdFBKnW	RdFBKnWx	230	82	4
RdFRKnW	SdFRKnW	214	23	3
RdFRKnW	RdFRKnWx	214	98	4
RdNRKnW	SdNRKnW	222	31	3
RdNRKnW	RdNRKnWx	222	90	2
RdFRKnW	SdFRKnW	214	23	3
RdFRKnW	RdFRKnWx	214	98	4
RdFRknW	SdFRknW	246	55	3
RdFRknW	RdFRknWx	246	66	4
RdNRknW	SdNRknW	254	63	3
RdNRknW	RdNRknWx	254	58	3
RdNRknw	SdNRknw	30	95	2
